bank_ref,gl_doc,partner,text_similarity,reason_flag,f_text,Recall@3,Rank,in_ground_truth
FEE-479T,BANKFEE-6VX,-,0.414,STRONG_SEMANTIC_MATCH,0.414,0.0,1,False
FEE-479T,ADJ-PK9P,-,0.414,STRONG_SEMANTIC_MATCH,0.414,0.0,2,False
FEE-479T,ADJ-QOLD,-,0.414,STRONG_SEMANTIC_MATCH,0.414,0.0,3,False
FEE-RJRN,BANKFEE-6VX,-,0.4188,STRONG_SEMANTIC_MATCH,0.4188,0.0,1,False
FEE-RJRN,ADJ-PK9P,-,0.4188,STRONG_SEMANTIC_MATCH,0.4188,0.0,2,False
FEE-RJRN,ADJ-QOLD,-,0.4188,STRONG_SEMANTIC_MATCH,0.4188,0.0,3,False
PEND-2V2HE,RCPT-XRGH,Tong Bao Y,0.9369,HIGH_SIMILARITY|STRONG_TEXT_MATCH|STRONG_SEMANTIC_MATCH,0.9369,0.0,1,False
PEND-2V2HE,BANKFEE-6VX,-,0.6012,STRONG_SEMANTIC_MATCH,0.6012,0.0,2,False
PEND-2V2HE,ADJ-PK9P,-,0.6012,STRONG_SEMANTIC_MATCH,0.6012,0.0,3,False
PEND-63CFL,BANKFEE-6VX,-,0.9305,HIGH_SIMILARITY|STRONG_TEXT_MATCH|STRONG_SEMANTIC_MATCH,0.9305,0.0,1,False
PEND-63CFL,ADJ-PK9P,-,0.9305,HIGH_SIMILARITY|STRONG_TEXT_MATCH|STRONG_SEMANTIC_MATCH,0.9305,0.0,2,False
PEND-63CFL,ADJ-QOLD,-,0.9305,HIGH_SIMILARITY|STRONG_TEXT_MATCH|STRONG_SEMANTIC_MATCH,0.9305,0.0,3,False
PEND-BKK4C,BANKFEE-6VX,-,0.9236,HIGH_SIMILARITY|STRONG_TEXT_MATCH|STRONG_SEMANTIC_MATCH,0.9236,0.0,1,False
PEND-BKK4C,ADJ-PK9P,-,0.9236,HIGH_SIMILARITY|STRONG_TEXT_MATCH|STRONG_SEMANTIC_MATCH,0.9236,0.0,2,False
